Date,First,Second
2021-07-12,2023678,686408
2021-07-11,2008345,683667
2021-07-10,1987064,671858
2021-07-09,1958700,651446
2021-07-08,1928105,629961
2021-07-07,1900389,609108
2021-07-06,1868111,586674
2021-07-05,1840850,567316
2021-07-04,1828450,564930
2021-07-03,1806958,554057
2021-07-02,1782220,534493
2021-07-01,851400,
2021-06-30,830684,
2021-06-29,809848,
2021-06-28,790322,
2021-06-27,779670,
2021-06-26,766789,
2021-06-25,748701,
2021-06-24,729783,
2021-06-23,711807,
2021-06-22,694125,
2021-06-21,676080,
2021-06-20,675738,
2021-06-19,666689,
2021-06-18,648926,
2021-06-17,631896,
2021-06-16,615471,
2021-06-15,598248,
2021-06-14,585595,
2021-06-13,585595,
2021-06-12,577881,
2021-06-11,561593,
2021-06-10,545970,
2021-06-09,530486,
2021-06-08,514412,
2021-06-07,499725,
2021-06-06,499725,
2021-06-05,492242,
2021-06-04,477265,
2021-06-03,461855,
2021-06-02,447260,
2021-06-01,432947,
2021-05-31,418996,
2021-05-30,418996,
2021-05-29,411834,
2021-05-28,397644,
2021-05-27,384056,
2021-05-26,371117,
2021-05-25,357917,
2021-05-24,345393,
2021-05-23,345393,
2021-05-22,339048,
2021-05-21,326563,
2021-05-20,326563,
2021-05-19,303270,
2021-05-18,291550,
2021-05-17,280135,
2021-05-16,280135,
2021-05-15,274751,
2021-05-14,264135,
2021-05-13,256193,
2021-05-12,248641,
2021-05-11,242149,
2021-05-10,235852,
2021-05-09,235852,
2021-05-08,229491,
2021-05-07,229491,
2021-05-06,224076,
2021-05-05,219594,
2021-05-04,215006,
2021-05-03,211022,
2021-05-02,211022,
2021-05-01,210376,
2021-04-30,206320,
2021-04-29,202220,
2021-04-28,198492,
2021-04-27,195007,
2021-04-26,192336,
2021-04-25,192336,
2021-04-24,191745,
2021-04-23,188812,
2021-04-22,185620,
2021-04-21,181435,
2021-04-20,177733,
2021-04-19,173852,
2021-04-18,173852,
2021-04-17,173302,
2021-04-16,169284,
2021-04-15,164855,
2021-04-14,160637,
2021-04-13,155894,
2021-04-12,151535,
2021-04-11,151535,
2021-04-10,151125,
2021-04-09,35291,
